"issue_time","plate","make","body_style","color","agency","violation_code","violation","fine"
"1403","CA","HOND","PA","SL","51","88.13B+","METER EXP.","$63"
"1234","CA","NISS","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"858","CA","FORD","VN","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1020","CA","TOYT","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"2126","CA","NISS","PA","WT","56","8.06E+02","WHITE ZONE","$58"
"1036","CA","NISS","PA","SL","53","80.69C","PARKED OVER TIME LIM","$58"
"1826","CA","MERZ","PA","GY","56","88.13B+","METER EXP.","$63"
"2303","CA","BMW","PA","GY","54","80.58L","PREFERENTIAL PARKING","$68"
"1658","CA","BMW","PA","WT","51","88.13B+","METER EXP.","$63"
"1015","CA","CHEV","PA","GY","56","88.13B+","METER EXP.","$63"
"930","CA","FORD","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1307","CA","CHEV","PU","WT","53","88.13B+","METER EXP.","$63"
"1015","CA","TOYT","PA","GN","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1027","CA","HOND","PA","WH","54","8069BS","NO PARK/STREET CLEAN","$73"
"816","CA","TOYT","PA","GN","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1741","CA","MERZ","PA","BK","53","88.13B+","METER EXP.","$63"
"1122","CA","TOYT","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"819","CA","MERZ","PA","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1512","CA","NISS","PA","SL","51","88.13B+","METER EXP.","$63"
"1012","CA","BMW","PA","BL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1337","CA","BMW","PA","WT","54","88.13B+","METER EXP.","$63"
"211","CA","HOND","PA","SL","56","5204A-","DISPLAY OF TABS","$25"
"2306","CA","BMW","PA","WT","54","80.58L","PREFERENTIAL PARKING","$68"
"1206","CA","FORD","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"2116","CA","FORD","PA","WT","54","5200","DISPLAY OF PLATES","$25"
"1715","CA","TOYT","PA","WT","56","5204A-","DISPLAY OF TABS","$25"
"1257","CA","CHEV","PA","GY","54","88.13B+","METER EXP.","$63"
"1219","CA","TOYT","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"938","CA","MERZ","PA","BK","51","88.13B+","METER EXP.","$63"
"832","CA","TOYT","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1417","CA","TOYT","PA","GY","56","80.69C","PARKED OVER TIME LIM","$58"
"1930","CA","HOND","PA","WT","54","80.58L","PREFERENTIAL PARKING","$68"
"1015","CA","HOND","PA","GN","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1136","CA","MERZ","PA","BK","56","80.56E4+","RED ZONE","$93"
"1006","CA","TOYT","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1117","CA","TOYT","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1130","CA","FORD","PA","RD","54","80.69C","PARKED OVER TIME LIM","$58"
"231","CA","NISS","PA","WT","56","80.56E4+","RED ZONE","$93"
"1215","CA","TOYT","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1149","CA","CHEV","PA","BK","56","5204A-","DISPLAY OF TABS","$25"
"844","CA","HOND","PA","GN","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1844","CA","CHEV","PA","WT","51","88.13B+","METER EXP.","$63"
"1622","CA","FORD","PA","WT","56","80.69AP+","NO STOP/STANDING","$93"
"852","CA","TOYT","PA","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1857","CA","BMW","PA","BK","53","88.13B+","METER EXP.","$63"
"1230","CA","FORD","PU","WT","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1721","CA","HOND","PA","BK","54","88.13B+","METER EXP.","$63"
"1051","CA","TOYT","PA","GY","51","80.58L","PREFERENTIAL PARKING","$68"
"1220","FL","HOND","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1304","MA","FORD","PA","GY","53","88.13B+","METER EXP.","$63"
"1221","CA","HOND","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"818","OR","NISS","PA","BL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1442","CA","MERZ","PA","GY","56","88.13B+","METER EXP.","$63"
"1745","CA","NISS","PA","GY","53","88.13B+","METER EXP.","$63"
"825","CA","HOND","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1221","CA","TOYT","PA","BL","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1807","CA","HOND","PA","BL","54","80.58L","PREFERENTIAL PARKING","$68"
"1558","CA","TOYT","PA","WT","51","5200","DISPLAY OF PLATES","$25"
"309","CA","TOYT","PA","GY","56","5200","DISPLAY OF PLATES","$25"
"1925","CA","MERZ","PA","WT","53","88.13B+","METER EXP.","$63"
"1126","CA","TOYT","PA","GY","56","80.56E4+","RED ZONE","$93"
"1908","CA","TOYT","CM","SL","53","80.58L","PREFERENTIAL PARKING","$68"
"915","CA","TOYT","PA","GY","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1836","CA","MERZ","PA","WT","53","80.58L","PREFERENTIAL PARKING","$68"
"806","CA","TOYT","PA","GN","56","88.13B+","METER EXP.","$63"
"1212","CA","HOND","PA","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1204","CA","NISS","PA","GY","54","5204A-","DISPLAY OF TABS","$25"
"1121","CA","MERZ","PA","BK","51","88.13B+","METER EXP.","$63"
"1231","CA","HOND","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1658","CA","FORD","PA","GY","55","80.69AP+","NO STOP/STANDING","$93"
"1746","CA","BMW","PA","BK","51","88.13B+","METER EXP.","$63"
"1758","CA","HOND","PA","BK","56","88.13B+","METER EXP.","$63"
"807","CA","BMW","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1043","CA","NISS","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1547","CA","NISS","PA","BK","55","80.69C","PARKED OVER TIME LIM","$58"
"1832","CA","TOYT","PA","SL","53","80.56E4+","RED ZONE","$93"
"1615","CA","NISS","PA","BK","55","80.69AP+","NO STOP/STANDING","$93"
"5","CA","TOYT","PA","BK","54","80.56E4+","RED ZONE","$93"
"2135","CT","NISS","PA","GY","54","80.58L","PREFERENTIAL PARKING","$68"
"1043","CA","HOND","PA","BK","54","80.69C","PARKED OVER TIME LIM","$58"
"1020","NJ","FORD","PA","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1514","CA","TOYT","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"1158","CA","TOYT","PA","GY","51","88.13B+","METER EXP.","$63"
"1100","CA","MERZ","PA","BK","53","80.58L","PREFERENTIAL PARKING","$68"
"1634","CA","CHEV","CM","BK","51","88.13B+","METER EXP.","$63"
"918","CA","NISS","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1601","CA","TOYT","PA","GN","53","80.69C","PARKED OVER TIME LIM","$58"
"807","CA","NISS","PA","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"821","CA","TOYT","PU","GY","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1016","CA","CHEV","PU","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1637","CA","FORD","PA","BK","51","88.13B+","METER EXP.","$63"
"2031","CA","NISS","PA","WT","54","88.13B+","METER EXP.","$63"
"1055","CA","TOYT","PA","WT","56","80.69BS","NO PARK/STREET CLEAN","$73"
"33","CA","NISS","PA","BK","54","8.06E+02","WHITE ZONE","$58"
"1106","CA","BMW","PA","SL","54","80.69C","PARKED OVER TIME LIM","$58"
"1014","CA","FORD","PA","BL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"653","CA","TOYT","PA","BK","54","80.56E4+","RED ZONE","$93"
"1231","CA","MERC","PA","WT","55","80.69BS","NO PARK/STREET CLEAN","$73"
"827","CA","TOYT","PU","GY","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1952","CA","NISS","PA","GY","53","80.58L","PREFERENTIAL PARKING","$68"
"1101","CA","CHEV","PA","GY","56","5200","DISPLAY OF PLATES","$25"
"1215","CA","TOYT","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1610","CA","FORD","CM","WT","56","80.56E4+","RED ZONE","$93"
"1927","CA","BMW","PA","GY","56","5200","DISPLAY OF PLATES","$25"
"1043","CA","TOYT","PA","WT","56","80.69BS","NO PARK/STREET CLEAN","$73"
"848","CA","FORD","VN","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1946","CA","FORD","PA","BK","56","88.13B+","METER EXP.","$63"
"856","CA","BMW","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1829","CA","FORD","PA","BL","54","80.58L","PREFERENTIAL PARKING","$68"
"1618","CA","BMW","PA","SL","54","80.58L","PREFERENTIAL PARKING","$68"
"916","CA","HOND","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1054","CA","TOYT","PA","WT","56","80.69C","PARKED OVER TIME LIM","$58"
"1206","CA","CHEV","PU","RD","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1354","CA","MERZ","PA","BK","56","5200","DISPLAY OF PLATES","$25"
"1948","CA","NISS","PA","WT","53","88.13B+","METER EXP.","$63"
"1657","CA","FORD","PA","BL","54","88.13B+","METER EXP.","$63"
"849","CA","NISS","PU","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1923","CA","TOYT","PA","RD","56","88.13B+","METER EXP.","$63"
"1017","CA","HOND","PA","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"817","CA","FORD","PA","BL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1721","CA","HOND","PA","BK","51","5204A-","DISPLAY OF TABS","$25"
"1719","CA","TOYT","PA","GY","53","88.13B+","METER EXP.","$63"
"1108","CA","TOYT","PA","GY","56","88.13B+","METER EXP.","$63"
"1206","CA","NISS","PA","SL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1125","CA","TOYT","PA","BK","56","88.13B+","METER EXP.","$63"
"1205","AZ","NISS","PA","WT","56","88.13B+","METER EXP.","$63"
"1055","CA","HOND","PA","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1258","CA","TOYT","PA","GY","51","80.69C","PARKED OVER TIME LIM","$58"
"1113","CA","TOYT","PA","BK","57","5204A-","DISPLAY OF TABS","$25"
"825","CA","TOYT","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"2035","CA","BMW","PA","GY","53","5200","DISPLAY OF PLATES","$25"
"1113","CA","FORD","PA","RD","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1313","CA","CHEV","PA","BL","54","5204A-","DISPLAY OF TABS","$25"
"2232","CA","TOYT","PA","GN","51","80.58L","PREFERENTIAL PARKING","$68"
"1028","CA","CHEV","PA","WT","56","88.13B+","METER EXP.","$63"
"1104","CA","MERZ","PA","WT","54","5200","DISPLAY OF PLATES","$25"
"1213","CA","HOND","PA","SL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1048","CA","CHEV","PA","GY","56","80.56E4+","RED ZONE","$93"
"1059","CA","TOYT","PA","SL","51","88.13B+","METER EXP.","$63"
"1108","CA","MERC","PA","SL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1204","CA","HOND","PA","GY","56","80.69C","PARKED OVER TIME LIM","$58"
"1227","CA","FORD","PA","WT","51","80.56E4+","RED ZONE","$93"
"815","CA","MERZ","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"651","CA","CHEV","PU","GY","55","8.06E+02","WHITE ZONE","$58"
"2323","CA","CHEV","PA","RD","53","80.58L","PREFERENTIAL PARKING","$68"
"537","CA","CHEV","PA","BK","51","80.56E4+","RED ZONE","$93"
"1948","CA","NISS","PA","WT","56","88.13B+","METER EXP.","$63"
"2240","CA","HOND","PA","SL","54","80.58L","PREFERENTIAL PARKING","$68"
"1956","CA","NISS","PA","GY","56","80.56E4+","RED ZONE","$93"
"1215","CA","HOND","PA","GY","51","5200","DISPLAY OF PLATES","$25"
"1125","CA","BMW","PA","SL","54","5204A-","DISPLAY OF TABS","$25"
"1212","CA","BMW","PA","BK","55","80.69C","PARKED OVER TIME LIM","$58"
"1413","CA","HOND","PA","SL","54","8.06E+02","WHITE ZONE","$58"
"1926","CA","BMW","PA","WT","56","5200","DISPLAY OF PLATES","$25"
"1019","CA","HOND","PA","SL","54","88.13B+","METER EXP.","$63"
"930","CA","TOYT","PA","GY","56","80.69C","PARKED OVER TIME LIM","$58"
"821","CA","HOND","PA","RD","53","80.69BS","NO PARK/STREET CLEAN","$73"
"906","CA","TOYT","PA","BK","54","5204A-","DISPLAY OF TABS","$25"
"1330","CA","FORD","PA","SL","51","80.58L","PREFERENTIAL PARKING","$68"
"1840","CA","BMW","PA","GY","51","88.13B+","METER EXP.","$63"
"1227","CA","TOYT","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1116","CA","HOND","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1415","CA","CHEV","PU","BL","53","80.69AP+","NO STOP/STANDING","$93"
"1233","CA","HOND","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1925","CA","BMW","PA","GY","55","5204A-","DISPLAY OF TABS","$25"
"1949","CA","HOND","PA","BL","53","80.58L","PREFERENTIAL PARKING","$68"
"811","CA","BMW","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1029","CA","MERZ","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1228","CA","BMW","PA","BK","54","80.56E4+","RED ZONE","$93"
"1352","CA","HOND","PA","GY","56","88.13B+","METER EXP.","$63"
"1941","CA","HOND","PA","GY","54","5200","DISPLAY OF PLATES","$25"
"1254","CA","TOYT","PA","BK","51","88.13B+","METER EXP.","$63"
"1723","CA","CHEV","PU","BK","56","88.13B+","METER EXP.","$63"
"1602","CA","FORD","CM","WT","53","88.13B+","METER EXP.","$63"
"1810","CA","TOYT","PA","GN","53","80.58L","PREFERENTIAL PARKING","$68"
"733","CA","BMW","PA","GY","54","5204A-","DISPLAY OF TABS","$25"
"1033","CA","CHEV","PA","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1047","CA","TOYT","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1444","CA","HOND","PA","BL","51","88.13B+","METER EXP.","$63"
"1117","CA","HOND","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1010","CA","TOYT","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1831","CA","BMW","PA","BK","53","5200","DISPLAY OF PLATES","$25"
"1732","CA","FORD","PA","WT","51","88.13B+","METER EXP.","$63"
"2210","CA","NISS","PA","SL","54","8.06E+02","WHITE ZONE","$58"
"2118","CA","CHEV","PA","SL","53","80.69AP+","NO STOP/STANDING","$93"
"814","AZ","HOND","PA","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1110","CA","TOYO","PA","GR","55","8.06E+07","RED ZONE","$93"
"1917","TN","CHEV","PA","GY","53","88.13B+","METER EXP.","$63"
"1024","CA","HOND","PA","BK","51","8069BS","NO PARK/STREET CLEAN","$73"
"1223","CA","HOND","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1006","FL","MERZ","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"813","CA","CHEV","PA","SL","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1105","CA","BMW","PA","GY","51","80.58L","PREFERENTIAL PARKING","$68"
"1034","GA","HOND","PA","RD","54","80.58L","PREFERENTIAL PARKING","$68"
"1323","CA","HOND","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1406","IL","NISS","PA","WT","54","80.56E4+","RED ZONE","$93"
"1015","CA","HOND","PA","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1816","CA","FORD","PA","WT","54","80.58L","PREFERENTIAL PARKING","$68"
"1336","CA","HOND","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1300","CA","TOYT","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1218","CA","TOYT","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1043","CA","FORD","PA","GY","53","80.69C","PARKED OVER TIME LIM","$58"
"1133","TX","BMW","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"854","CA","FORD","PA","SL","53","80.69BS","NO PARK/STREET CLEAN","$73"
"813","CA","TOYT","PA","BK","51","88.13B+","METER EXP.","$63"
"1120","CA","TOYT","PA","WT","54","88.13B+","METER EXP.","$63"
"1956","CA","MERZ","PA","BK","53","80.56E4+","RED ZONE","$93"
"1212","CA","TOYT","PA","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"732","CA","CHEV","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"426","CA","FORD","VN","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1342","CA","BMW","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"1145","CA","HOND","PA","GN","53","88.13B+","METER EXP.","$63"
"1331","CA","CHEV","VN","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"2124","CA","HOND","PA","BK","54","80.58L","PREFERENTIAL PARKING","$68"
"1357","CA","HOND","PA","BK","51","88.13B+","METER EXP.","$63"
"1022","AZ","CHEV","PA","WT","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1306","CA","TOYT","PA","WT","54","80.69C","PARKED OVER TIME LIM","$58"
"813","CA","TOYT","PA","SL","54","88.13B+","METER EXP.","$63"
"1939","CA","HOND","PA","GY","56","88.13B+","METER EXP.","$63"
"1336","CA","HOND","PA","GN","54","80.69BS","NO PARK/STREET CLEAN","$73"
"941","CA","NISS","PA","SL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1657","CA","HOND","PA","BK","51","5200","DISPLAY OF PLATES","$25"
"1618","CA","CHEV","PA","WT","56","80.56E4+","RED ZONE","$93"
"937","CA","FORD","PA","BK","53","5204A-","DISPLAY OF TABS","$25"
"2020","CA","CHEV","PA","WT","54","5200","DISPLAY OF PLATES","$25"
"1028","CA","HOND","PA","BL","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1246","CA","NISS","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1849","CA","FORD","PA","SL","54","88.13B+","METER EXP.","$63"
"1032","CA","TOYT","PA","WT","54","88.13B+","METER EXP.","$63"
"1411","CA","NISS","PA","BK","53","80.58L","PREFERENTIAL PARKING","$68"
"100","CA","FORD","PA","BK","51","8.06E+02","WHITE ZONE","$58"
"2359","CA","FORD","PA","RD","54","80.58L","PREFERENTIAL PARKING","$68"
"1229","CA","FORD","TK","WT","51","80.69BS","NO PARK/STREET CLEAN","$73"
"2110","CA","TOYT","PA","GY","54","88.13B+","METER EXP.","$63"
"1011","CA","FORD","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"853","CA","NISS","PU","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1633","CA","MERZ","PA","GY","54","80.69AP+","NO STOP/STANDING","$93"
"1109","CA","MERZ","PA","GY","51","88.13B+","METER EXP.","$63"
"1049","CA","MERZ","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","NA"
"1359","CA","MERZ","PA","GY","56","5200","DISPLAY OF PLATES","$25"
"1338","CA","TOYT","PA","GN","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1006","CA","TOYT","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1213","CA","HOND","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"2229","CA","NISS","PA","GY","54","5200","DISPLAY OF PLATES","$25"
"943","CA","HOND","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"444","CA","TOYT","PA","GY","56","80.69BS","NO PARK/STREET CLEAN","$73"
"812","CA","BMW","PA","GY","51","88.13B+","METER EXP.","$63"
"1224","CA","FORD","PA","BK","53","5204A-","DISPLAY OF TABS","$25"
"31","CA","FORD","PU","BL","51","5204A-","DISPLAY OF TABS","$25"
"811","CA","BMW","PA","BK","54","5204A-","DISPLAY OF TABS","$25"
"2234","CA","MERZ","PA","WT","53","80.58L","PREFERENTIAL PARKING","$68"
"835","CA","NISS","PU","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1155","CA","TOYT","PA","GY","54","80.69C","PARKED OVER TIME LIM","$58"
"1239","CA","TOYT","PA","GY","56","5204A-","DISPLAY OF TABS","$25"
"905","CA","HOND","PA","BL","56","88.13B+","METER EXP.","$63"
"1746","CA","MERZ","PA","SL","56","5204A-","DISPLAY OF TABS","$25"
"1209","CA","FORD","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"416","CA","FORD","TK","WT","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1256","CA","MERZ","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1629","CA","TOYT","PA","BL","53","88.13B+","METER EXP.","$63"
"826","CA","NISS","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1930","CA","CHEV","PA","SL","56","88.13B+","METER EXP.","$63"
"1613","CA","MERZ","PA","WT","51","5204A-","DISPLAY OF TABS","$25"
"818","CA","TOYT","PA","BK","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1024","CA","CHEV","VN","WT","56","5204A-","DISPLAY OF TABS","$25"
"1216","CA","TOYT","PA","GY","54","5200","DISPLAY OF PLATES","$25"
"1620","CA","MERZ","PA","BK","51","88.13B+","METER EXP.","$63"
"1043","CA","TOYT","PA","RD","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1322","CA","CHEV","PA","BL","56","80.69C","PARKED OVER TIME LIM","$58"
"1313","CA","TOYT","PA","WT","51","80.58L","PREFERENTIAL PARKING","$68"
"1427","CA","CHEV","TK","BK","55","80.56E4+","RED ZONE","$93"
"1041","CA","BMW","PA","BK","53","88.13B+","METER EXP.","$63"
"932","CA","CHEV","PU","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1226","UT","TOYT","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1646","CA","BMW","PA","BK","51","88.13B+","METER EXP.","$63"
"1517","CA","TOYT","PA","WT","51","88.13B+","METER EXP.","$63"
"816","ON","HOND","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1337","CA","HOND","PA","SL","53","80.69C","PARKED OVER TIME LIM","$58"
"1552","CA","FORD","PA","BK","51","88.13B+","METER EXP.","$63"
"1414","CA","FORD","PA","GY","53","80.69C","PARKED OVER TIME LIM","$58"
"1314","CA","TOYT","PA","WT","53","80.69C","PARKED OVER TIME LIM","NA"
"824","CA","FORD","PU","WT","54","88.13B+","METER EXP.","$63"
"1212","CA","FORD","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1309","CA","TOYT","PA","RD","56","80.69C","PARKED OVER TIME LIM","$58"
"1907","CA","TOYT","PA","BK","56","88.13B+","METER EXP.","$63"
"1937","CA","HOND","PA","GY","56","88.13B+","METER EXP.","$63"
"828","CA","TOYT","PA","SL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1528","CA","CHEV","PA","BL","55","8.06E+02","WHITE ZONE","$58"
"1552","CA","CHEV","PA","BL","51","80.69C","PARKED OVER TIME LIM","$58"
"952","CA","NISS","PA","SL","56","80.69C","PARKED OVER TIME LIM","$58"
"1117","CA","TOYT","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1608","CA","HOND","PA","GY","56","80.69AP+","NO STOP/STANDING","$93"
"1047","ID","FORD","PA","RD","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1448","CA","CHEV","PA","BK","56","80.69C","PARKED OVER TIME LIM","$58"
"1023","CA","MERZ","PA","RD","56","80.56E4+","RED ZONE","$93"
"1242","CA","HOND","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1205","CA","BMW","PA","RD","56","88.13B+","METER EXP.","$63"
"1448","CA","NISS","PA","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1046","CA","MERZ","PA","BK","51","88.13B+","METER EXP.","$63"
"826","CA","TOYT","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"825","CA","HOND","PA","BK","53","80.69BS","NO PARK/STREET CLEAN","$73"
"826","CA","TOYT","PA","GY","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1700","CA","HOND","PA","WT","51","88.13B+","METER EXP.","$63"
"1812","CA","TOYT","PA","GY","54","5200","DISPLAY OF PLATES","$25"
"1526","CA","HOND","PA","WT","51","5204A-","DISPLAY OF TABS","$25"
"1145","CA","HOND","PA","BK","56","80.69BS","NO PARK/STREET CLEAN","$73"
"1348","CA","CHEV","PU","BL","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1125","CA","HOND","PA","BK","56","88.13B+","METER EXP.","$63"
"815","CA","FORD","VN","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
